id,default_code,name,categ,kiss_cost,btv_cost,cmn_cost,kiss_taxes,btv_taxes,cmn_taxes,kiss_stx,btv_stx,cmn_stx,kiss_sellers,btv_sellers,cmn_sellers,route_ids,tracking
33008,TSCP012,2SOME1 Cherry Pink Serum 12g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5,lot
15342,,2SOME1 Eau De Parfum 25 ml,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,3,3,3,7|5,lot
30068,,2SOME1 Eau De Parfum 25 ml [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5,lot
31856,,2SOME1 Hair Vitamin Serum 20 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,4,4,4,7|5,lot
30069,TSSA010-CL,2SOME1 Perfume 10 ml [CL],Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
31265,,2SOME1 Perfume 30 ml,Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,2,2,2,7|5|16,lot
31860,,2SOME1 Perfume 30 ml [72CTN],Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,5,lot
15510,TSSA010,2SOME1 Perfume Sweet Angel 10 ml,Finished Goods / Finished Goods - Imported,16.77900117380991,16.77900117380991,16.77900117380991,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,2,2,2,7|5|16,lot
30288,TSSA010-4PCS,2SOME1 Perfume Sweet Angel 10 ml (4PCS),Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,5,lot
33010,TSVR012,2SOME1 V Recovery Serum 12g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5,lot
19849,TSSB030,2SOME1 Whitening Bikini Serum Snow Blink 30 g,Finished Goods / Finished Goods - Domestic,12.875000034481513,12.875000034481513,12.875000034481513,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,4,4,4,7|5,lot
26330,TSSB030-144CTN,2SOME1 Whitening Bikini Serum Snow Blink 30 g (144CTN),Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,5,lot
